Sauron,mp3_files/Sauron.mp3,0.0|81.5|100.0,60.0,Battle/A-Interlude
Darth Raven,mp3_files/Darth-Revan-Cover.mp3,,60.0,Battle/Beowulf
Sauron,mp3_files/Sauron.mp3,0.0|81.5|100.0,156.0,Battle/Interlude
The Hammer of Thor,mp3_files/The-Hammer-Of-Thor.mp3,,60.0,Battle/Nordenskjold
Mozart-Lacrimosa,mp3_files/Lacrimosa-Epic_Version-(Mozart).mp3,,60.0,Battle/Queen-Victoria
"Mars, the Bringer of War",mp3_files/Mars-the-Bringer-of-War.mp3,0.0|248.5,60.0,Battle/Sol
